model,balance,calibration,tuned,loso,best_params,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,cv_macro_f1_mean,cv_macro_f1_std,cv_cohen_kappa_mean,macro_auprc,macro_roc_auc,ece,brier,cv_train_macro_f1_mean,overfitting_gap,overfitted,overfitting_status
logreg,class_weight,none,True,False,{'clf__C': 2.0},0.861679539241447,0.7572311405474531,0.7183769090341572,0.8736398290056234,0.7424245822830129,0.9661397256657832,0.3955071477195371,0.7546707244906585,0.7958879618593564,0.6796789854354504,0.7183023551984307,0.0105906982753794,0.7346455119396753,0.7700526332723949,0.9671421662822892,0.0158398108335932,0.1972107946699375,0.7428635795676227,0.024561224369192,False,not_overfitted
logreg,class_weight,sigmoid,True,False,{'clf__C': 2.0},0.8172227088143961,0.4650026051934458,0.4783343285735727,0.7619472274408906,0.5757864317823527,0.8988499339094155,0.0,0.7637737024490908,0.7290480065093572,0.0,0.7183023551984307,0.0105906982753794,0.7346455119396753,0.684607140412553,0.9404492698170228,0.1942255423302128,0.3400535042643309,0.7428635795676227,0.024561224369192,False,not_overfitted
rf,class_weight,none,True,False,"{'max_depth': 12, 'min_samples_leaf': 2, 'n_estimators': 500}",0.8654484168060089,0.7464859101540845,0.7186706001494321,0.8739019498144663,0.7459665797332808,0.964422418308554,0.3971736705094831,0.760380231266203,0.7744227353463587,0.696953945316561,0.717198131979061,0.0120856501596561,0.7316188353827041,0.7832713916164711,0.9680031309341368,0.0414392658534334,0.1891790604326707,0.8016661461556145,0.0844680141765534,False,not_overfitted
rf,class_weight,sigmoid,True,False,"{'max_depth': 12, 'min_samples_leaf': 2, 'n_estimators': 500}",0.8887650290628235,0.7235072030801095,0.7323920561500734,0.8859737588451848,0.7829559066188709,0.968801476571338,0.3722869052752623,0.8073353954927088,0.802,0.7115365034110579,0.717198131979061,0.0120856501596561,0.7316188353827041,0.7851488940446918,0.9682138076353743,0.05171574328874,0.1647397176488041,0.8016661461556145,0.0844680141765534,False,not_overfitted
xgb,class_weight,none,True,False,"{'estimator__gamma': 0.1, 'estimator__learning_rate': 0.05, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 500, 'estimator__reg_lambda': 5.0}",0.8750829418478117,0.7735588517509768,0.7389503669242554,0.8860619818133451,0.7661060907506183,0.973387570072653,0.4237505339598462,0.7693922095366017,0.7955097087378641,0.732711812314312,0.7397734474808116,0.0030021613579648,0.7603077063036263,0.8023565857774466,0.9747105525829428,0.0207251351163857,0.17042705768203,0.8208713134957654,0.0810978660149537,False,not_overfitted
xgb,class_weight,sigmoid,True,False,"{'estimator__gamma': 0.1, 'estimator__learning_rate': 0.05, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 500, 'estimator__reg_lambda': 5.0}",0.8977891021047323,0.7515452706012719,0.7558219888913181,0.8987637461426317,0.8028133466373617,0.9756541024385856,0.4250526055204852,0.8240788790866632,0.8075826203657105,0.7467417370451465,0.7397734474808116,0.0030021613579648,0.7603077063036263,0.804052817845174,0.9742487873509764,0.0667878560827089,0.1536963051363019,0.8208713134957654,0.0810978660149537,False,not_overfitted
xgb,smote_half,sigmoid,True,False,"{'estimator__gamma': 0.1, 'estimator__learning_rate': 0.05, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 500, 'estimator__reg_lambda': 5.0}",0.8981606815829286,0.7305384277200286,0.7510811211002646,0.8950105007608989,0.7992396112553032,0.9723298339001429,0.4054701818694488,0.8190919502013373,0.8059341038468173,0.7525795356835769,0.7546930279140998,0.004178056871860548,0.7921683070744152,0.8025587984668358,0.9738385197632773,0.07189367560019766,0.1580132072613955,0.8268760588782677,0.0721830309641679,False,not_overfitted
