model,balance,calibration,tuned,loso,best_params,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,cv_macro_f1_mean,cv_macro_f1_std,cv_cohen_kappa_mean,macro_auprc,macro_roc_auc,ece,brier,cv_train_macro_f1_mean,overfitting_gap,overfitted,overfitting_status
rf,class_weight,sigmoid,True,False,"{'max_depth': 18, 'min_samples_leaf': 2, 'n_estimators': 500}",0.8918172890622926,0.7200635986516963,0.7377563890781101,0.8887559181649778,0.7877790969423261,0.9699260021368368,0.3887935963407661,0.8107909977274393,0.7946788027306144,0.7245925464548947,0.7378057786290355,0.0125822966780777,0.7659370592059783,0.7935088602471609,0.971026408487488,0.0578663987582615,0.1608500235789494,0.9223579117962364,0.1845521331672007,True,overfitted
xgb,class_weight,sigmoid,True,False,"{'estimator__gamma': 0.1, 'estimator__learning_rate': 0.05, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 500, 'estimator__reg_lambda': 5.0}",0.8977891021047323,0.7515452706012719,0.7558219888913181,0.8987637461426317,0.8028133466373617,0.9756541024385856,0.4250526055204852,0.8240788790866632,0.8075826203657105,0.7467417370451465,0.7315876046340684,0.0035094671562778,0.7504483097089986,0.804052817845174,0.9742487873509764,0.0667878560827089,0.1536963051363019,0.7987251257699157,0.0671375211358473,False,not_overfitted
logreg,class_weight,sigmoid,True,False,{'clf__C': 2.0},0.8172227088143961,0.46500260519344583,0.4783343285735727,0.7619472274408906,0.5757864317823527,0.8988499339094155,0.0,0.7637737024490908,0.7290480065093572,0.0,0.7180837816119044,0.01037513570213674,0.7344410326743427,0.684607140412553,0.9404492698170227,0.19422554233021283,0.34005350426433095,0.742667496232018,0.02458371462011355,False,not_overfitted
